,stateid,percentage(obese),gender
49327,AK,30.2,Female
52048,AK,29.3,Male
17597,AL,34.1,Male
41899,AL,32.9,Female
10642,AR,35.8,Male
33810,AR,36,Female
513,AZ,28.8,Female
36980,AZ,29.1,Male
35221,CA,25.4,Female
39564,CA,24,Male
54333,CO,21.9,Male
62774,CO,20.7,Female
34485,CT,26,Female
45238,CT,26.5,Male
11484,DC,19.5,Male
57693,DC,23.7,Female
35612,DE,29.4,Male
51326,DE,31.9,Female
40666,FL,26.6,Female
60930,FL,25.8,Male
43208,GA,28.6,Male
60812,GA,32.4,Female
22823,HI,21,Female
34859,HI,23.1,Male
36812,IA,29.8,Female
41708,IA,32,Male
39813,ID,28.7,Male
61579,ID,29.2,Female
45661,IL,30.7,Female
57800,IL,27.9,Male
35691,IN,33,Female
46920,IN,32.5,Male
9657,KS,31.5,Female
46215,KS,31.1,Male
45326,KY,33.3,Male
52598,KY,29.9,Female
7826,LA,34,Male
57299,LA,35.7,Female
37450,MA,23.6,Male
51612,MA,23,Female
6859,MD,27.8,Male
15736,MD,31.3,Female
48880,ME,27.9,Male
57165,ME,28.5,Female
22470,MI,30.9,Male
50281,MI,30.6,Female
53479,MN,29.7,Male
53963,MN,25.4,Female
17270,MO,30.2,Male
37864,MO,30.2,Female
36896,MS,37.9,Female
41663,MS,32.9,Male
15945,MT,27.7,Male
44090,MT,24.9,Female
15672,NC,28.3,Male
46426,NC,31.1,Female
41540,ND,34.7,Male
43170,ND,29.5,Female
5973,NE,31.7,Male
47843,NE,28.7,Female
8076,NH,29.5,Male
55953,NH,25.3,Female
37213,NJ,28.5,Male
59624,NJ,25.3,Female
21952,NM,27.5,Male
44829,NM,29.4,Female
38405,NV,29.9,Male
57138,NV,25.4,Female
19228,NY,27.8,Male
19887,NY,26.2,Female
16568,OH,32.5,Female
56441,OH,32.8,Male
36963,OK,33.5,Male
40249,OK,32.5,Female
45398,OR,27.1,Male
46107,OR,28.7,Female
36813,PA,29.1,Female
40136,PA,31.2,Male
47079,RI,25.8,Female
51899,RI,28.2,Male
50747,SC,32.4,Female
57936,SC,31.7,Male
51545,SD,28.1,Female
58167,SD,31.5,Male
15275,TN,30.5,Female
59692,TN,32,Male
33874,TX,30.7,Female
52505,TX,33.2,Male
38555,UT,25.7,Male
41329,UT,25.8,Female
3985,VA,27.7,Male
50310,VA,29.3,Female
12420,VT,24.2,Female
56826,VT,25.3,Male
38030,WA,28.5,Male
57846,WA,26,Female
39276,WI,30.5,Female
46260,WI,31.8,Male
47810,WV,36,Female
48456,WV,35.3,Male
39361,WY,29.2,Female
61357,WY,29.7,Male
